Life-Stage Group,Calcium,Chromium,Copper,Fluoride,Iodine,Iron,Magnesium,Manganese,Molybdenum,Phosphorus,Selenium,Zinc,Potassium,Sodium,Chloride
0-6 m,200,0.0002,0.2,0.01,0.110,0.27,30,0.003,0.002,100,0.015,2,400,110,180
7-12 m,260,0.0055,0.22,0.5,0.130,11,75,0.6,0.003,275,0.020,3,860,370,570
1-3 y,700,0.011,0.34,0.7,0.090,7,80,1.2,0.017,460,0.020,3,2000,800,1500
4-8 y,1000,0.015,0.44,1,0.090,10,130,1.5,0.022,500,0.030,5,2300,1000,1900
9-13 y M,1300,0.025,0.7,2,0.120,8,240,1.9,0.034,1250,0.040,8,2500,1200,2300
14-18 y M,1300,0.035,0.89,3,0.150,11,410,2.2,0.043,1250,0.055,11,3000,1500,2300
19-30 y M,1000,0.035,0.9,4,0.150,8,400,2.3,0.045,700,0.055,11,3400,1500,2300
31-50 y M,1000,0.035,0.9,4,0.150,8,420,2.3,0.045,700,0.055,11,3400,1500,2300
51-70 y M,1000,0.030,0.9,4,0.150,8,420,2.3,0.045,700,0.055,11,3400,1500,2000
71+ y M,1200,0.030,0.9,4,0.150,8,420,2.3,0.045,700,0.055,11,3400,1500,1800
9-13 y F,1300,0.021,0.7,2,0.120,8,240,1.6,0.034,1250,0.040,8,2300,1200,2300
14-18 y F,1300,0.024,0.89,3,0.150,15,360,1.6,0.043,1250,0.055,9,2300,1500,2300
19-30 y F,1000,0.025,0.9,3,0.150,18,310,1.8,0.045,700,0.055,8,2600,1500,2300
31-50 y F,1000,0.025,0.9,3,0.150,18,320,1.8,0.045,700,0.055,8,2600,1500,2300
51-70 y F,1200,0.020,0.9,3,0.150,8,320,1.8,0.045,700,0.055,8,2600,1500,2000
71+ y F,1200,0.020,0.9,3,0.150,8,320,1.8,0.045,700,0.055,8,2600,1500,1800
14-18 y P,1300,0.029,1,3,0.220,27,400,2,0.050,1250,0.060,12,2600,1500,2300
19-30 y P,1000,0.030,1,3,0.220,27,350,2,0.050,700,0.060,11,2900,1500,2300
31-50 y P,1000,0.030,1,3,0.220,27,360,2,0.050,700,0.060,11,2900,1500,2300
14-18 y L,1300,0.044,1.3,3,0.290,10,360,2.6,0.050,1250,0.070,13,2500,1500,2300
19-30 y L,1000,0.045,1.3,3,0.290,9,310,2.6,0.050,700,0.070,12,2800,1500,2300
31-50 y L,1000,0.045,1.3,3,0.290,9,320,2.6,0.050,700,0.070,12,2800,1500,2300
