id,fdc_id,nutrient_id,amount
2201847,319877,1051,56.3
2201845,319877,1002,1.28
2201846,319877,1004,19
2201844,319877,1007,1.98
2201852,319878,1091,188
2201851,319878,1101,1.21
2201853,319878,1092,326
2201848,319878,1087,46
2201854,319878,1093,446
2201850,319878,1090,75.9
2201849,319878,1089,2.33
2201856,319878,1098,0.38
2201855,319878,1095,1.5
2201860,319882,1051,56.1
2201857,319882,1007,1.99
2201858,319882,1002,1.29
2201859,319882,1004,18.7
2201861,319883,1170,0.37
2201866,319884,1101,1.2
2201862,319884,1093,444
2201870,319884,1087,57
2201867,319884,1090,81.4
2201864,319884,1092,327
2201869,319884,1098,0.394
2201865,319884,1091,190
2201868,319884,1089,2.96
2201863,319884,1095,1.47
2201874,319892,1051,58.2
2201873,319892,1004,16.6
2201872,319892,1002,1.25
2201871,319892,1007,2.02
2201880,319893,1093,387
2201878,319893,1091,179
2201879,319893,1092,320
2201876,319893,1090,69.8
2201877,319893,1101,1.18
2201881,319893,1095,1.42
2201875,319893,1089,2.72
2201883,319893,1087,46
2201882,319893,1098,0.382
2201887,319899,1051,57.6
2201885,319899,1002,1.1
2201884,319899,1007,1.98
2201886,319899,1004,19.1
2201888,319900,1089,2.07
2201893,319900,1090,68.5
2201894,319900,1095,1.28
2201892,319900,1091,143
2201889,319900,1098,0.309
2201891,319900,1101,0.95
2201895,319900,1093,489
2201896,319900,1092,252
2201890,319900,1087,38
2201917,319906,1264,0.01
2201912,319906,1301,0.022
2201928,319906,1335,0
2201904,319906,1266,0.771
2201907,319906,1272,0
2201925,319906,1260,0
2201905,319906,1411,0
2201938,319906,1299,0.003
2201908,319906,1278,0
2201923,319906,1311,0.003
2201920,319906,1271,0.006
2201910,319906,1259,0
2201902,319906,1265,1.76
2201931,319906,1303,0
2201933,319906,1276,0
2201911,319906,1273,0.044
2201906,319906,1280,0
2201919,319906,1304,0.006
2201934,319906,1414,0
2201930,319906,1333,0
2201901,319906,1315,5.03
2201898,319906,2012,0.048
2201924,319906,1404,0.725
2201903,319906,1267,0.077
2201936,319906,1305,0
2201909,319906,1334,0
2201921,319906,1313,0.005
2201899,319906,2014,0
2201927,319906,1262,0
2201914,319906,1300,0.014
2201929,319906,1263,0
2201926,319906,1261,0
2201915,319906,1306,0.013
2201913,319906,1314,0.018
2201935,319906,1406,0
2201932,319906,2019,0
