id,fdc_id,amount,measure_unit_id,gram_weight
118702,319875,2,1001,35.8
118703,319880,2,1001,36.2
118704,319881,2,1001,33.4
118705,319886,2,1001,33.2
118706,319889,2,1001,34.6
118707,319895,2,1001,34.8
118708,319897,2,1001,31.4
118709,319902,2,1001,32
118710,319904,2,1001,32.2
118711,319922,2,1001,33.6
118712,319924,2,1001,32.4
118713,319940,2,1001,36
118714,319942,2,1001,35.8
118715,319959,2,1001,34.8
118716,319962,2,1001,35.2
118717,319979,2,1001,30.4
118718,319980,2,1001,32
118719,319985,2,1001,35.4
118720,319988,2,1001,35.6
118721,320006,2,1001,33
118722,320009,2,1001,34
118724,320026,1,1000,223
118725,320032,1,1000,224
118726,320038,1,1000,232
118727,320044,1,1000,224
118728,320063,1,1000,228
118729,320063,1,1009,30.5
118730,320063,1,1045,976
118731,320086,1,1000,230
118732,320105,1,1000,217
118733,320125,1,1000,224
118734,320144,1,1000,226
118735,320166,1,1000,220
118736,320173,1,1000,231
118737,320180,1,1000,226
118738,320186,1,1000,228
118739,320192,1,1000,229
118740,320198,1,1000,222
118741,320204,1,1000,229
118742,320211,1,1000,228
118743,320231,1,1000,237
118744,320254,1,1000,228
118745,320276,1,1000,227
118746,320299,1,1000,226
118747,320308,1,1000,231
118748,320314,1,1000,232
118749,320333,1,1000,228
118753,320354,1,1046,838
118754,320355,1,1054,130
118755,320358,1,1046,634
118756,320359,1,1046,788
118757,320360,1,1046,629
118758,320361,1,1046,707
118759,320362,1,1046,690
118760,320363,1,1046,685
118761,320364,1,1046,706
118762,320365,1,1046,581
118763,320366,1,1046,741
118764,320367,1,1046,752
118765,320368,1,1046,529
118766,320369,1,1054,113
118767,320370,1,1054,174
118768,320371,1,1054,113
118769,320372,1,1054,177
118770,320373,1,1054,132
118771,320374,1,1054,94.2
118772,320375,1,1054,147
118773,320376,1,1054,146
118774,320377,1,1054,189
118775,320378,1,1054,193
118776,320379,1,1054,169
118778,320444,5,1082,34.1
118779,320444,1,1000,155
118780,320446,5,1082,52.7
118781,320446,1,1000,149
118782,320452,5,1082,26.2
118783,320452,1,1000,147
118784,320454,5,1082,50.5
118785,320454,1,1000,152
118786,320461,5,1082,52.3
118787,320461,1,1000,141
118788,320463,5,1082,50.1
118789,320463,1,1000,148
118790,320477,5,1082,45.8
118791,320477,1,1000,157
118792,320481,5,1082,45.4
118793,320481,1,1000,147
118794,320513,5,1082,91.7
118795,320513,1,1000,156
118796,320515,5,1082,52
118797,320515,1,1000,161
118804,321358,2,1001,33.9
118805,321359,1,1000,227
118806,321359,1,1009,30.5
118807,321359,1,1045,976
118808,321360,5,1082,49.7
118809,321360,1,1000,152
118810,321362,1,1002,6.6
118811,321368,1,1002,5.8
118812,321374,1,1002,6
118813,321380,1,1002,5.9
118814,321385,1,1002,6.1
118815,321390,1,1002,6
118816,321395,1,1002,6.5
118817,321401,1,1002,6.2
118818,321407,1,1002,6
118819,321413,1,1002,6
118820,321418,1,1002,5.7
118821,321424,1,1002,6.5
118822,321430,1,1002,6.2
118823,321436,1,1002,5.9
118824,321442,1,1002,6.4
118825,321447,1,1002,6.6
118826,321453,1,1002,6.2
118827,321459,1,1002,6
118828,321465,1,1002,5.9
118829,321476,1,1002,6.3
118830,321482,1,1002,5.7
118831,321488,1,1002,5.7
118832,321494,1,1002,6
118833,321500,1,1002,5.8
118834,321505,1,1002,6.1
118835,321507,1,1000,132
118836,321509,1,1000,130
118837,321514,1,1000,133
118838,321516,1,1000,130
118839,321522,1,1000,130
118840,321524,1,1000,131
118841,321529,1,1000,125
118842,321532,1,1000,135
118843,321539,1,1000,134
118844,321542,1,1000,128
118845,321548,1,1000,125
118846,321551,1,1000,127
118847,321558,1,1000,131
118848,321561,1,1000,124
118849,321563,1,1000,128
118850,321567,1,1000,134
118851,321574,1,1000,127
118852,321577,1,1000,125
118853,321585,1,1000,124
118854,321586,1,1000,128
118855,321592,1,1000,128
118856,321595,1,1000,130
118857,321602,1,1000,125
118858,321605,1,1000,129
118859,321611,1,1000,129
118860,321676,1,1053,233
118861,321676,1,1000,76
118862,321846,1,1053,242
118863,321846,1,1000,114
118864,321900,1,1000,76
118865,321902,1,1000,238
118866,321908,1,1000,221
118867,321914,1,1000,223
118868,321921,1,1000,232
118869,321941,1,1000,227
118870,321960,1,1000,239
118871,321979,1,1000,250
118872,322002,1,1000,251
118873,322002,1,1009,30.5
118874,322002,1,1045,976
118875,322021,1,1000,232
118876,322044,1,1000,242
118877,322050,1,1000,227
118878,322056,1,1000,230
118879,322062,1,1000,230
118880,322068,1,1000,232
118881,322074,1,1000,231
118882,322080,1,1000,226
118883,322086,1,1000,229
118884,322106,1,1000,230
118885,322129,1,1000,242
118886,322151,1,1000,237
118887,322174,1,1000,221
118888,322183,1,1000,230
118889,322189,1,1000,233
118890,322208,1,1000,232
118891,322228,1,1000,233
118892,322228,1,1009,30.5
118893,322228,1,1045,976
118894,322230,1,1000,222
118895,322230,1,1009,30.6
118896,322230,1,1045,980
118897,322237,1,1000,231
118898,322244,1,1000,227
118899,322250,1,1000,231
118900,322269,1,1000,225
118901,322288,1,1000,223
118902,322307,1,1000,232
118903,322330,1,1000,224
118904,322350,1,1000,236
118905,322374,1,1000,233
118906,322380,1,1000,229
118907,322387,1,1000,228
118908,322393,1,1000,228
118909,322399,1,1000,233
118910,322405,1,1000,229
118911,322411,1,1000,233
118912,322417,1,1000,227
118913,322440,1,1000,237
118914,322449,1,1000,229
118915,322472,1,1000,230
118916,322493,1,1000,229
118917,322515,1,1000,229
118918,322521,1,1000,228
118919,322540,1,1000,229
118920,322559,1,1000,229
118921,322559,1,1009,30.6
118922,322559,1,1045,980
118923,322561,1,1000,227
118924,322561,1,1000,244
118925,322561,1,1009,30.5
118926,322561,1,1001,15
118927,322561,1,1045,976
118928,322567,1,1000,219
118929,322589,1,1000,228
118930,322613,1,1000,225
118931,322629,1,1000,231
118932,322648,1,1000,224
118933,322667,1,1000,228
118934,322690,1,1000,222
118935,322697,1,1000,234
118936,322703,1,1000,225
118937,322709,1,1000,229
118938,322716,1,1000,232
118939,322722,1,1000,229
118940,322728,1,1000,224
118941,322735,1,1000,228
118942,322741,1,1000,253
118943,322764,1,1000,226
118944,322770,1,1000,221
118945,322794,1,1000,232
118946,322815,1,1000,229
118947,322837,1,1000,224
118948,322843,1,1000,230
118949,322852,1,1000,228
118950,322872,1,1000,229
118951,322892,1,1000,229
118952,322892,1,1009,30.5
118953,322892,1,1001,15
118954,322892,1,1045,976
118955,322894,1,1043,48.1
118956,322900,1,1043,46.6
118957,322903,1,1043,46.5
118958,322911,1,1043,47.7
118959,322914,1,1043,46.6
118960,322921,1,1043,47.7
118961,322924,1,1043,47.7
118962,322938,1,1043,47.7
118963,322941,1,1043,47.4
118964,322956,1,1043,51.9
118965,322959,1,1043,54.1
118966,322966,1,1043,55.6
118967,322973,1,1043,47.5
118968,322976,1,1043,47.3
118969,322993,1,1043,50.6
118970,322996,1,1043,52.5
118971,323011,1,1043,42.6
118972,323013,1,1043,52.3
118973,323028,1,1043,55.6
118974,323031,1,1043,52.9
118975,323045,1,1043,47.4
118976,323048,1,1043,48.3
118977,323055,1,1043,47.4
118978,323058,1,1043,46.6
118979,323070,1,1043,48.3
118980,323073,1,1043,47.3
118981,323086,1,1043,46.7
118982,323089,1,1043,46.7
118983,323096,1,1043,47.5
118984,323099,1,1043,47.7
118985,323106,1,1043,46.8
118986,323108,1,1043,47.2
118987,323121,1,1043,48.6
118988,323123,1,1000,137
118989,323125,1,1000,137
118990,323130,1,1000,137
118991,323132,1,1000,133
118992,323138,1,1000,138
118993,323140,1,1000,135
118994,323147,1,1000,139
118995,323150,1,1000,137
118996,323162,1,1000,134
118997,323164,1,1000,136
118998,323179,1,1000,130
118999,323183,1,1000,131
119000,323190,1,1000,137
119001,323192,1,1000,137
119002,323206,1,1000,131
119003,323213,1,1000,130
119004,323216,1,1000,130
119005,323231,1,1000,128
119006,323234,1,1000,129
119007,323251,1,1000,138
119008,323266,1,1000,138
119009,323268,1,1000,134
119010,323281,1,1000,132
119011,323282,1,1000,140
119012,323294,1,1000,135
119013,323296,0.2,1000,66.7
119014,323297,0.2,1000,66.1
119015,323305,0.2,1000,59.5
119016,323312,0.2,1000,69.2
119017,323314,0.2,1000,67
119018,323327,0.2,1000,66.7
119019,323329,0.2,1000,68.5
119020,323343,0.2,1000,64.1
119021,323345,0.2,1000,60.7
119022,323362,0.2,1000,62.9
119023,323364,0.2,1000,61.3
119024,323371,0.2,1000,63.6
119025,323373,0.2,1000,61.3
119026,323379,0.2,1000,61.8
119027,323381,0.2,1000,63.4
119028,323394,0.2,1000,62.4
119029,323396,0.2,1000,65.1
119030,323409,0.2,1000,65.4
119031,323410,0.2,1000,65.5
119032,323426,0.2,1000,66.8
119033,323427,0.5,1000,129
119034,323427,1,1000,258
119035,323427,0.2,1000,68.5
119036,323444,0.2,1000,64.6
119037,323444,0.5,1000,129
119038,323444,1,1000,258
119039,323446,1,1011,263
119040,323446,1,1000,17.4
119041,323447,1,1011,448
119042,323447,1,1000,20.8
119043,323452,1,1011,1340
119044,323452,1,1000,17.2
119045,323453,1,1011,727
119046,323453,1,1000,20
119047,323459,1,1011,307
119048,323459,1,1000,22.2
119049,323460,1,1011,293
119050,323460,1,1000,23
119051,323474,1,1011,480
119052,323474,1,1000,23.6
119053,323491,1,1011,897
119054,323491,1,1000,20.7
119055,323492,1,1011,638
119056,323492,1,1000,20.4
119057,323505,1,1000,20.6
119058,323556,1,1000,243
119059,323563,1,1038,28.4
119060,323604,1,1038,28.4
119061,323635,1,1038,28.4
119062,323647,1,1000,243
119063,323697,1,1038,28.4
119064,323775,1,1038,28.4
119065,323775,1,1000,107
119066,323775,1,1001,7
119067,323788,1,1001,7
119068,323788,1,1000,107
119069,323793,1,1001,7
119070,323793,1,1000,107
119071,323819,2,1001,36
119072,323819,1,1000,259
119073,323888,2,1001,34.7
119074,323889,2,1001,34.4
119075,323898,2,1001,33.7
119076,323899,2,1001,33.9
119077,323906,2,1001,34.4
119078,323909,2,1001,34
119079,323916,2,1001,37.2
119080,323917,2,1001,36.3
119081,323932,2,1001,35.7
119082,323935,2,1001,38.6
119083,323950,2,1001,39.3
119084,323951,2,1001,36.3
119085,323964,2,1001,38.2
119086,323965,2,1001,35.9
119087,323973,2,1001,34.5
119088,323974,2,1001,33
119089,323989,2,1001,37
119090,323991,2,1001,36.6
119091,324006,2,1001,35.5
119092,324007,2,1001,35.8
119093,324013,2,1001,34.4
119094,324014,2,1001,36.9
119095,324022,2,1001,34.2
119096,324023,2,1001,36.4
119097,324038,2,1001,35.7
119098,324040,1,1033,16.6
119099,324045,1,1033,19.2
119100,324054,1,1043,148
119101,324072,1,1033,24
119102,324092,1,1033,15.7
119103,324097,1,1033,17.9
119104,324114,1,1033,18
119105,324119,1,1033,19.2
119106,324143,1,1033,18.1
119107,324157,1,1033,18.6
119108,324160,1,1043,15.4
119109,324161,1,1043,13.6
119110,324167,1,1043,11.2
119111,324171,1,1043,21
119112,324174,1,1043,38.6
119113,324178,1,1043,16.2
119114,324180,1,1043,19.5
119115,324196,1,1043,32.7
119116,324197,1,1043,23.6
119117,324215,1,1043,18.5
119118,324217,1,1043,19
119119,324234,1,1043,12.6
119120,324235,1,1043,24.9
119121,324255,1,1043,15.4
119122,324256,1,1043,13.6
119123,324261,1,1043,14.1
119124,324262,1,1043,23.5
119125,324280,1,1043,22.4
119126,324281,1,1043,28.2
119127,324298,1,1043,16.2
119128,324299,1,1043,23.5
119129,324317,1,1043,20.2
119130,324319,1,9999,66.5
119131,324320,1,9999,45.6
119132,324328,1,9999,51.3
119133,324329,1,9999,68.4
119134,324333,1,9999,40.8
119135,324335,1,9999,44.8
119136,324341,1,9999,23
119137,324342,1,9999,43.2
119138,324353,1,9999,41.6
119139,324356,1,9999,22.7
119140,324360,1,9999,36
119141,324363,1,9999,26.1
119142,324368,1,9999,48.2
119143,324369,1,9999,55.1
119144,324385,1,9999,54.1
119145,324387,1,9999,58
119146,324403,1,9999,25.7
119147,324404,1,9999,27.2
119148,324415,1,9999,27.3
119149,324416,1,9999,33.1
119150,324422,1,9999,27.5
119151,324425,1,9999,34.4
119152,324441,1,9999,46.5
119153,324442,1,9999,49.9
119154,324448,1,9999,50.4
119155,324449,1,9999,48.8
119156,324453,1,9999,49.6
119157,324454,1,9999,55.8
119158,324460,1,9999,60.5
119159,324461,1,9999,33.3
119160,324473,1,9999,36
119161,324475,1,9999,48.3
119162,324487,1,9999,27.7
119163,324488,1,9999,43.9
119164,324503,1,1077,24.2
119165,324504,1,1077,34.2
119166,324509,1,1077,24.6
119167,324510,1,1077,18.7
119168,324517,1,9999,49.3
119169,324518,1,9999,42.7
119170,324530,1,1077,25.8
119171,324532,1,1077,29.1
119172,324538,1,1077,34.1
119173,324540,1,1077,20.9
119174,324546,1,1077,25.6
119175,324548,1,1077,23.6
119176,324554,1,1077,22.5
119177,324556,1,1077,34.3
119178,324562,1,1077,33.6
119179,324563,1,1077,69.5
119180,324568,1,1077,32
119181,324570,1,1077,45.8
119182,324576,1,1077,37.3
119183,324578,1,1077,36.2
119184,324583,1,1077,58.2
119185,324585,1,1077,57.1
119186,324591,1,1077,56.3
119187,324593,1,1077,47.6
119188,324599,1,1077,45.6
119189,324601,1,1077,43.3
119190,324607,1,1077,58.1
119191,324608,1,1077,44.9
119192,324614,1,1077,40.8
119193,324616,1,1077,69
119194,324622,1,1077,54.5
119195,324624,1,1077,48.4
119196,324630,1,1077,46.3
119197,324632,1,1077,41.7
119198,324638,1,1077,51.1
119199,324640,1,1077,54.4
119200,324646,1,1077,29.4
119201,324648,1,1077,36.5
119202,324653,1,1077,40.4
119203,324734,1,1000,258
119204,324734,2,1001,32
119205,324855,2,1001,32
119206,324855,1,1000,258
119207,324860,2,1001,32
119208,324860,1,1000,258
119209,324862,1,1001,7.8
119210,324864,1,1001,7.2
119211,324872,1,1001,7.4
119212,324874,1,1001,7.5
119213,324885,1,1001,7.3
119214,324887,1,1001,7.2
119215,324894,1,1001,6.7
119216,324896,1,1000,100
119217,324897,1,1001,7.2
119218,324914,1,1001,7.8
119219,324922,1,1001,7.3
119220,324927,1,1001,7.6
119221,324941,1,1001,7.5
119222,324942,1,1001,7.5
119223,324961,1,1001,7.4
119224,324962,1,1001,8
119225,324971,1,1001,7.6
119226,324974,1,1001,7.7
119227,324991,1,1001,7.3
119228,324994,1,1001,7.2
119229,325010,1,1001,8.3
119230,325011,1,1001,7.7
119231,325021,1,1001,8.3
119232,325023,1,1001,8.9
119233,325036,1,1001,7.6
119234,325038,1,1050,28.8
